economy,series,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020
BGD,SE.ADT.LITR.ZS,,58.7691803,57.86074829,61.01554108,61.09329987,65.1373291,72.7587204,72.89296722,73.91220093,74.6844635,74.9088974
BGD,SM.POP.REFG,229256,229669,230696,231142,232468,231954,276203,932209,906640,854779,866534
BGD,SM.POP.REFG.OR,10046,10047,10159,9720,10868,12154,13842,16780,21022,22766,18948
BGD,SP.DYN.LE00.IN,69.881,70.256,70.606,70.93,71.231,71.514,71.785,72.052,72.32,72.591,72.868
BGR,DT.ODA.ODAT.CD,,,,,,,,,,,
BGR,NY.GDP.PCAP.CD,6853.002854,7849.165283,7432.478766,7681.93462,7901.785876,7074.681023,7569.478815,8366.293221,9446.700772,9879.268533,10079.20338
BGR,SE.ADT.LITR.ZS,,98.35244751,,,,,,,,,
BGR,SM.POP.REFG,5519,5676,2273,4305,11026,16543,17794,19166,19906,20438,21113
BGR,SM.POP.REFG.OR,2558,2322,2143,1875,1644,1264,799,716,620,566,510
BGR,SP.DYN.LE00.IN,73.51219512,74.16341463,74.31463415,74.86097561,74.46585366,74.61463415,74.81219512,74.81463415,74.96341463,75.11219512,73.60731707
BHR,DT.ODA.ODAT.CD,,,,,,,,,,,
BHR,NY.GDP.PCAP.CD,20722.07049,22514.20272,23654.36959,24744.29696,24989.43753,22634.08565,22608.45256,23742.93734,24086.30169,23552.37995,20406.50233
BHR,SE.ADT.LITR.ZS,90.97740173,,,,,,,,,,
BHR,SM.POP.REFG,165,199,289,294,310,246,270,255,262,251,256
BHR,SM.POP.REFG.OR,81,213,294,274,344,422,461,497,540,557,534
BHR,SP.DYN.LE00.IN,76.057,76.2,76.342,76.484,76.624,76.762,76.899,77.032,77.163,77.292,77.419
BHS,DT.ODA.ODAT.CD,,,,,,,,,,,
BHS,NY.GDP.PCAP.CD,28443.88848,28005.9124,29485.86422,28768.77237,30154.73862,31699.35863,31314.84456,32371.00818,33077.39183,33872.33431,24665.09683
BHS,SE.ADT.LITR.ZS,,,,,,,,,,,
BHS,SM.POP.REFG,27,27,36,14,12,7,9,8,14,10,15
BHS,SM.POP.REFG.OR,17,184,195,208,216,216,298,378,421,501,534
BHS,SP.DYN.LE00.IN,72.144,72.263,72.424,72.62,72.847,73.088,73.329,73.554,73.752,73.918,74.053
BIH,DT.ODA.ODAT.CD,511179992.7,625780029.3,567969970.7,521210022,629909973.1,356390014.6,446109985.4,440540008.5,355950012.2,460450012.2,437470001.2
BIH,NY.GDP.PCAP.CD,4635.5102,5092.554725,4777.06692,5129.663534,5330.355078,4729.690054,4994.971623,5394.26914,6070.35298,6119.762351,6082.36673
BIH,SE.ADT.LITR.ZS,,98.14203644,,96.99176788,,,,,,,
BIH,SM.POP.REFG,7014,6932,6904,6924,6883,6789,5266,5224,5227,5241,5232
BIH,SM.POP.REFG.OR,62996,58572,51815,26787,21883,18763,18194,17690,16956,16556,15578
BIH,SP.DYN.LE00.IN,76.031,76.219,76.401,76.569,76.723,76.865,76.998,77.128,77.262,77.401,77.545
BLR,DT.ODA.ODAT.CD,136259994.5,119800003.1,102760002.1,105669998.2,118110000.6,101599998.5,-25180000.31,-252419998.2,116250000,205990005.5,822809997.6
BLR,NY.GDP.PCAP.CD,6033.686239,6527.173869,6953.132515,7998.125239,8341.399679,5967.052204,5039.681886,5785.670673,6360.062473,6837.717826,6555.426818
BLR,SE.ADT.LITR.ZS,,,,,,,,,,99.87400055,
BLR,SM.POP.REFG,587,594,572,599,919,1805,1647,2155,2225,2725,2900
BLR,SM.POP.REFG.OR,5735,5916,6181,4387,4296,4117,3831,3650,3526,3425,3139
BLR,SP.DYN.LE00.IN,70.40487805,70.55365854,71.96585366,72.47073171,72.97073171,73.62439024,73.82682927,74.12926829,74.17560976,74.22682927,74.22682927
BLZ,DT.ODA.ODAT.CD,24200000.76,20989999.77,26209999.08,51270000.46,37560001.37,28270000.46,34959999.08,34200000.76,33790000.92,35439998.63,69230003.36
BLZ,NY.GDP.PCAP.CD,4304.111108,4441.738755,4530.604801,4575.680956,4744.108945,4805.196852,4877.670506,4909.604664,4927.194224,4983.336114,3987.796596
BLZ,SE.ADT.LITR.ZS,,,,,,,,,,,
BLZ,SM.POP.REFG,134,78,27,21,10,34,,,29,29,29
BLZ,SM.POP.REFG.OR,21,29,35,37,42,48,58,64,68,73,68
BLZ,SP.DYN.LE00.IN,72.057,72.57,73.044,73.452,73.782,74.034,74.219,74.365,74.496,74.623,74.754
BMU,DT.ODA.ODAT.CD,,,,,,,,,,,
BMU,NY.GDP.PCAP.CD,101875.2841,97774.16207,98431.86518,99471.6389,98467.68399,102005.6256,106885.8785,111820.5815,113050.7369,116153.1661,107706.0398
BMU,SE.ADT.LITR.ZS,,,,,,,,,,,
BMU,SM.POP.REFG,,,,,,,,,,,
BMU,SM.POP.REFG.OR,,,,,,,,,,,
BMU,SP.DYN.LE00.IN,79.28853659,81.15268293,81.67780488,80.57243902,80.79731707,81.01219512,81.22707317,81.44195122,81.65170732,81.86658537,82.05609756
BOL,DT.ODA.ODAT.CD,560270019.5,545969970.7,661630004.9,702299987.8,674359985.4,791309997.6,696510009.8,949159973.1,728849975.6,708190002.4,338399993.9
BOL,NY.GDP.PCAP.CD,1955.460181,2346.337844,2609.880562,2908.200371,3081.878824,3035.971655,3076.656439,3351.124344,3548.59078,3552.068144,3137.989617
BOL,SE.ADT.LITR.ZS,,92.22615051,94.46057129,,,92.45507813,,,,,93.85256195
BOL,SM.POP.REFG,680,701,717,734,751,762,776,802,802,863,1116
BOL,SM.POP.REFG.OR,589,615,616,594,594,566,530,520,502,514,535
BOL,SP.DYN.LE00.IN,68.007,68.521,69.01,69.468,69.891,70.277,70.626,70.945,71.239,71.513,71.771
